id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6UzeOH4bRPzKTo2wCXMZmC,By Myself,63,['Linkin Park'],2000,189800,0.0171,0.544,0.935,0.00301,6.0,0.297,-4.159,0.0,0.173,103.026,4.0,0.339
7bCNS79pv7K9iYtqAo0uIW,Suavemente Amor,66,['Los Yaguarú'],2000-01-01,234945,0.53,0.676,0.568,0.0,8.0,0.0816,-5.398,1.0,0.0588,155.813,4.0,0.867
20oenBXlmwIfK0F3fQIjhM,Kim,60,['Eminem'],2000-05-23,377893,0.0216,0.587,0.923,0.0,4.0,0.481,-3.05,0.0,0.441,142.075,4.0,0.0778
6HgrJfzfj9WRBABdussy8z,Rx Queen,59,['Deftones'],2000-05-16,268026,0.000106,0.571,0.919,0.274,10.0,0.171,-6.596,1.0,0.0457,143.155,4.0,0.548
46n2EGFnPC3tzWCN1Aqe26,This I Promise You,66,['*NSYNC'],2000-03-21,284760,0.354,0.55,0.587,0.0,2.0,0.128,-6.279,1.0,0.0329,165.975,4.0,0.466
0Tl84qfow6Dv0PM60zoBhb,La Bomba,64,['Azul Azul'],2000,123960,0.119,0.923,0.768,0.0,1.0,0.0689,-7.321,1.0,0.0674,94.013,4.0,0.96
3xVtc7PB4V3AqAfq4Iahli,I'm Back,61,['Eminem'],2000-05-23,309760,0.0146,0.878,0.595,6.8e-05,11.0,0.328,-3.924,0.0,0.203,89.995,4.0,0.851
3iwsyTZzOWHZbHffBEyi1N,Right Now,58,['SR-71'],2000-06-20,167200,0.000289,0.524,0.967,7.41e-06,8.0,0.324,-3.322,1.0,0.0392,116.273,4.0,0.731
58rdbCe3SBJuJeWEJa8Htm,Modern Day Bonnie and Clyde,56,['Travis Tritt'],2000-10-01,284173,0.101,0.647,0.874,1.79e-05,9.0,0.277,-5.075,0.0,0.0337,89.727,4.0,0.918
5CeL9C3bsoe4yzYS1Qz8cw,Girls & Boys,68,['Blur'],2000-10-23,259385,0.00986,0.693,0.875,0.0,7.0,0.0601,-8.354,0.0,0.0315,120.048,4.0,0.899
5S0cvScXb33JVpjTiY9Ivi,Separated,56,['Avant'],2000-05-09,255600,0.247,0.797,0.48,0.0,0.0,0.237,-5.564,1.0,0.0276,108.237,4.0,0.641
5kHkaBN8OEQlmXfQkACxSt,3 Libras,59,['A Perfect Circle'],2000-01-01,219640,0.00383,0.518,0.744,0.007,9.0,0.078,-8.248,1.0,0.0374,144.019,3.0,0.211
6k5VMHrwv7mgPpkQSRQtQr,Lebanese Blonde,63,['Thievery Corporation'],2000-08-09,288826,0.238,0.808,0.837,0.862,9.0,0.0578,-6.583,0.0,0.0459,92.002,4.0,0.654
6b0AtCzgnYrb7T84o18V4l,I Won't Back Down,61,['Johnny Cash'],2000-01-01,128199,0.587,0.624,0.531,0.0,9.0,0.309,-8.393,1.0,0.0309,113.778,4.0,0.551
4LlNoNZflek4hZyZigCxpW,Just Another Day In Paradise,55,['Phil Vassar'],2000-02-21,233880,0.359,0.596,0.706,0.0,2.0,0.36,-5.562,1.0,0.0261,146.095,4.0,0.705
3X4Oz9LjhhtgyOhVNlfoYa,Marshall Mathers,60,['Eminem'],2000-05-23,321266,0.0361,0.729,0.759,0.0,11.0,0.0694,-3.177,0.0,0.127,95.935,4.0,0.268
33kKcOJoyNduHwXhEnga8X,Sea of Love,60,['Cat Power'],2000-03-21,139466,0.94,0.585,0.0859,0.0,6.0,0.16,-11.478,0.0,0.0484,78.54,4.0,0.12
6pfdW2NouUI3ZnugM7r0G0,The Fight Song,63,['Marilyn Manson'],2000-11-11,175760,0.000136,0.469,0.985,0.00026,1.0,0.212,-3.78,0.0,0.0969,130.058,4.0,0.0368
6uSa5iCMwPr10Ftpz8w09b,Love,54,['Musiq Soulchild'],2000-01-01,304666,0.342,0.569,0.385,0.0,1.0,0.0876,-9.919,0.0,0.0499,99.749,4.0,0.339
04ccQGJ1i8gL7JoeCPiJbv,Don't Happen Twice,54,['Kenny Chesney'],2000-09-25,203066,0.00626,0.499,0.708,1.15e-05,7.0,0.0423,-7.029,1.0,0.0301,158.785,4.0,0.617
0y6DSMwFO6cLKN1XB85cGV,A Day Without Rain,63,['Enya'],2000-11-11,156880,0.907,0.23,0.159,0.924,5.0,0.102,-16.315,1.0,0.0323,70.614,4.0,0.039
